team1,team2,score1,score2
sparta prague,teplice,0,1
slovan liberec,opava,1,2
banik ostrava,sigma olomouc,0,0
bohemians,slovan liberec,0,0
opava,mlada boleslav,2,1
teplice,fastav zlin,2,1
slovacko,dukla prague,1,0
pribram,sparta prague,1,1
plzen,karvina,2,1
jablonec,slavia praha,0,2
sigma olomouc,jablonec,1,2
dukla prague,banik ostrava,1,1
slovan liberec,pribram,4,0
mlada boleslav,plzen,1,1
fastav zlin,slovacko,0,1
karvina,opava,1,1
slavia praha,teplice,2,0
sparta prague,bohemians,1,0
teplice,mlada boleslav,0,2
bohemians,sigma olomouc,0,1
pribram,fastav zlin,3,2
slovacko,karvina,2,0
banik ostrava,slovan liberec,2,1
jablonec,opava,2,2
plzen,slavia praha,2,0
dukla prague,sparta prague,2,3
slovan liberec,dukla prague,2,0
sigma olomouc,pribram,2,0
karvina,teplice,1,1
fastav zlin,bohemians,0,2
mlada boleslav,jablonec,1,0
sparta prague,banik ostrava,3,2
slavia praha,slovacko,4,0
opava,plzen,1,2
banik ostrava,fastav zlin,1,2
plzen,jablonec,1,0
pribram,karvina,2,1
slovacko,mlada boleslav,1,1
dukla prague,sigma olomouc,0,4
slovan liberec,sparta prague,0,1
teplice,opava,3,2
bohemians,slavia praha,0,3
jablonec,teplice,2,1
opava,slovacko,2,2
karvina,bohemians,0,3
fastav zlin,dukla prague,2,1
mlada boleslav,pribram,2,0
sparta prague,plzen,4,0
slavia praha,banik ostrava,4,0
sigma olomouc,slovan liberec,2,1
teplice,plzen,2,1
dukla prague,karvina,2,1
banik ostrava,mlada boleslav,1,1
slovacko,jablonec,0,0
slovan liberec,fastav zlin,1,0
sparta prague,sigma olomouc,2,1
bohemians,opava,0,0
pribram,slavia praha,0,2
karvina,banik ostrava,2,0
teplice,slovacko,2,0
mlada boleslav,sparta prague,2,1
fastav zlin,sigma olomouc,0,2
opava,dukla prague,2,0
slavia praha,slovan liberec,1,1
jablonec,pribram,3,0
plzen,bohemians,3,2
pribram,opava,3,1
dukla prague,slavia praha,1,5
slovan liberec,jablonec,0,0
bohemians,mlada boleslav,0,0
banik ostrava,teplice,3,1
sigma olomouc,karvina,3,2
slovacko,plzen,0,1
sparta prague,fastav zlin,2,0
teplice,bohemians,1,2
opava,sigma olomouc,2,1
karvina,fastav zlin,2,0
slovacko,pribram,2,0
plzen,banik ostrava,2,1
jablonec,dukla prague,2,1
slavia praha,sparta prague,1,1
mlada boleslav,slovan liberec,1,2
sigma olomouc,teplice,2,0
bohemians,jablonec,1,0
sparta prague,karvina,1,3
banik ostrava,opava,2,0
pribram,plzen,1,1
dukla prague,mlada boleslav,2,2
fastav zlin,slavia praha,1,0
slovan liberec,slovacko,3,2
plzen,dukla prague,4,0
slovacko,bohemians,1,1
jablonec,banik ostrava,4,0
mlada boleslav,fastav zlin,3,0
opava,sparta prague,0,3
karvina,slovan liberec,2,1
slavia praha,sigma olomouc,2,1
teplice,pribram,0,0
slovan liberec,sigma olomouc,3,0
plzen,slovacko,2,1
slavia praha,bohemians,1,0
zorya luhansk,mariupol,2,1
karpaty lviv,oleksandriya,0,2
arsenal kyiv,lviv,0,2
chornomorets,olimpik donetsk,2,1
dynamo kyiv,vorskla poltava,1,0
desna chernihiv,shakhtar donetsk,0,2
oleksandriya,zorya luhansk,1,0
lviv,dynamo kyiv,0,1
karpaty lviv,chornomorets,1,0
olimpik donetsk,vorskla poltava,1,0
mariupol,desna chernihiv,1,4
shakhtar donetsk,arsenal kyiv,3,0
dynamo kyiv,shakhtar donetsk,1,0
vorskla poltava,lviv,1,0
zorya luhansk,chornomorets,1,1
karpaty lviv,olimpik donetsk,2,2
desna chernihiv,oleksandriya,0,2
arsenal kyiv,mariupol,1,2
olimpik donetsk,lviv,1,1
shakhtar donetsk,vorskla poltava,4,1
karpaty lviv,zorya luhansk,0,1
oleksandriya,arsenal kyiv,1,0
chornomorets,desna chernihiv,1,0
arsenal kyiv,chornomorets,1,1
lviv,shakhtar donetsk,0,2
dynamo kyiv,oleksandriya,1,0
desna chernihiv,karpaty lviv,2,2
vorskla poltava,mariupol,2,1
zorya luhansk,olimpik donetsk,0,0
olimpik donetsk,shakhtar donetsk,2,5
oleksandriya,vorskla poltava,2,0
chornomorets,dynamo kyiv,1,1
mariupol,lviv,2,2
karpaty lviv,arsenal kyiv,1,2
zorya luhansk,desna chernihiv,0,2
vorskla poltava,chornomorets,2,1
shakhtar donetsk,mariupol,2,0
desna chernihiv,olimpik donetsk,0,1
lviv,oleksandriya,2,2
arsenal kyiv,zorya luhansk,0,5
dynamo kyiv,karpaty lviv,0,2
desna chernihiv,arsenal kyiv,1,0
oleksandriya,shakhtar donetsk,0,2
karpaty lviv,vorskla poltava,0,1
olimpik donetsk,mariupol,1,3
zorya luhansk,dynamo kyiv,1,1
chornomorets,lviv,0,1
mariupol,oleksandriya,1,0
lviv,karpaty lviv,1,1
arsenal kyiv,olimpik donetsk,1,3
shakhtar donetsk,chornomorets,3,0
dynamo kyiv,desna chernihiv,4,0
vorskla poltava,zorya luhansk,2,1
mariupol,dynamo kyiv,0,2
karpaty lviv,shakhtar donetsk,1,6
olimpik donetsk,oleksandriya,2,3
desna chernihiv,vorskla poltava,0,2
zorya luhansk,lviv,0,0
chornomorets,mariupol,0,1
arsenal kyiv,dynamo kyiv,0,1
mariupol,karpaty lviv,1,1
oleksandriya,chornomorets,3,2
lviv,desna chernihiv,1,3
dynamo kyiv,olimpik donetsk,1,0
shakhtar donetsk,zorya luhansk,1,1
vorskla poltava,arsenal kyiv,0,2
shakhtar donetsk,desna chernihiv,1,0
mariupol,zorya luhansk,3,2
vorskla poltava,dynamo kyiv,0,1
lviv,arsenal kyiv,1,0
olimpik donetsk,chornomorets,1,0
oleksandriya,karpaty lviv,2,1
desna chernihiv,mariupol,2,0
zorya luhansk,oleksandriya,0,0
arsenal kyiv,shakhtar donetsk,0,3
chornomorets,karpaty lviv,0,5
dynamo kyiv,lviv,0,1
vorskla poltava,olimpik donetsk,2,1
mariupol,arsenal kyiv,1,0
shakhtar donetsk,dynamo kyiv,2,1
olimpik donetsk,karpaty lviv,1,2
oleksandriya,desna chernihiv,1,1
lviv,vorskla poltava,0,2
chornomorets,zorya luhansk,0,3
lviv,olimpik donetsk,1,1
desna chernihiv,chornomorets,2,0
zorya luhansk,karpaty lviv,2,1
arsenal kyiv,oleksandriya,0,3
dynamo kyiv,mariupol,4,0
vorskla poltava,shakhtar donetsk,0,2
shakhtar donetsk,lviv,0,0
karpaty lviv,desna chernihiv,0,2
mariupol,vorskla poltava,1,0
olimpik donetsk,zorya luhansk,1,1
oleksandriya,dynamo kyiv,2,1
desna chernihiv,zorya luhansk,0,2
arsenal kyiv,karpaty lviv,1,1
lviv,mariupol,2,2
shakhtar donetsk,olimpik donetsk,2,2
vorskla poltava,oleksandriya,0,1
dynamo kyiv,chornomorets,2,0
mariupol,shakhtar donetsk,0,3
zorya luhansk,arsenal kyiv,3,0
karpaty lviv,dynamo kyiv,0,4
chornomorets,vorskla poltava,0,1
olimpik donetsk,desna chernihiv,1,1
oleksandriya,lviv,1,2
mariupol,olimpik donetsk,2,1
lviv,chornomorets,0,1
arsenal kyiv,desna chernihiv,0,2
vorskla poltava,karpaty lviv,0,4
dynamo kyiv,zorya luhansk,5,0
shakhtar donetsk,oleksandriya,2,0
desna chernihiv,dynamo kyiv,1,2
chornomorets,shakhtar donetsk,0,1
zorya luhansk,vorskla poltava,3,0
olimpik donetsk,arsenal kyiv,0,1
karpaty lviv,lviv,0,1
oleksandriya,mariupol,1,1
mariupol,chornomorets,0,0
vorskla poltava,desna chernihiv,0,0
lviv,zorya luhansk,0,0
shakhtar donetsk,karpaty lviv,5,0
dynamo kyiv,arsenal kyiv,4,0
oleksandriya,olimpik donetsk,1,1
chornomorets,oleksandriya,0,3
zorya luhansk,shakhtar donetsk,0,1
desna chernihiv,lviv,0,1
karpaty lviv,mariupol,1,1
olimpik donetsk,dynamo kyiv,1,2
arsenal kyiv,vorskla poltava,2,2
chornomorets,arsenal kyiv,2,1
basel,st gallen,1,2
luzern,neuchatel xamax,0,2
young boys,grasshopper,2,0
sion,lugano,1,2
zurich,thun,2,1
grasshopper,zurich,0,2
neuchatel xamax,basel,1,1
lugano,young boys,0,2
st gallen,sion,2,4
thun,luzern,2,1
basel,grasshopper,4,2
luzern,lugano,4,2
young boys,zurich,4,0
sion,neuchatel xamax,3,0
st gallen,thun,3,2
lugano,grasshopper,2,2
neuchatel xamax,thun,1,5
basel,sion,3,2
luzern,young boys,2,3
zurich,st gallen,0,0
young boys,neuchatel xamax,5,2
grasshopper,sion,2,1
zurich,basel,1,1
st gallen,luzern,0,1
thun,lugano,1,1
lugano,zurich,1,0
sion,young boys,0,3
basel,thun,1,1
luzern,grasshopper,2,1
neuchatel xamax,st gallen,2,3
grasshopper,neuchatel xamax,3,1
thun,sion,4,1
young boys,basel,7,1
st gallen,lugano,2,2
zurich,luzern,1,0
grasshopper,thun,0,2
young boys,st gallen,2,0
basel,luzern,2,1
neuchatel xamax,lugano,2,1
sion,zurich,1,2
st gallen,grasshopper,2,1
thun,young boys,1,4
lugano,basel,2,2
luzern,sion,1,3
zurich,neuchatel xamax,0,0
st gallen,basel,1,3
young boys,luzern,2,3
grasshopper,lugano,2,1
neuchatel xamax,sion,1,1
thun,zurich,2,2
luzern,thun,0,2
zurich,young boys,3,3
basel,neuchatel xamax,1,1
lugano,st gallen,3,1
sion,grasshopper,0,0
grasshopper,basel,1,3
young boys,sion,3,2
neuchatel xamax,luzern,1,2
lugano,thun,2,1
st gallen,zurich,3,2
grasshopper,young boys,0,3
thun,neuchatel xamax,2,2
basel,lugano,3,2
luzern,zurich,2,5
sion,st gallen,0,1
lugano,luzern,1,4
thun,basel,4,2
neuchatel xamax,grasshopper,2,3
st gallen,young boys,2,3
zurich,sion,1,2
neuchatel xamax,zurich,3,3
young boys,lugano,1,0
grasshopper,st gallen,2,1
luzern,basel,1,1
sion,thun,2,1
sion,luzern,2,0
thun,st gallen,2,0
basel,young boys,1,3
lugano,neuchatel xamax,2,2
zurich,grasshopper,2,0
st gallen,neuchatel xamax,3,2
young boys,thun,3,2
basel,zurich,2,0
grasshopper,luzern,2,3
lugano,sion,2,2
sion,basel,1,2
thun,grasshopper,1,0
neuchatel xamax,young boys,1,4
luzern,st gallen,2,1
zurich,lugano,0,0
young boys,neuchatel xamax,2,0
grasshopper,basel,0,4
lugano,thun,1,3
st gallen,zurich,3,1
luzern,sion,1,3
basel,st gallen,1,1
zurich,grasshopper,3,1
neuchatel xamax,luzern,2,1
sion,lugano,2,2
thun,young boys,1,1
luzern,lugano,0,3
st gallen,thun,1,3
basel,sion,1,0
grasshopper,neuchatel xamax,0,1
young boys,zurich,2,0
neuchatel xamax,basel,0,2
sion,st gallen,2,2
lugano,young boys,0,1
thun,grasshopper,1,1
zurich,luzern,1,1
grasshopper,luzern,1,3
young boys,sion,1,0
basel,thun,3,1
st gallen,neuchatel xamax,3,0
zurich,lugano,0,1
grasshopper,young boys,0,1
neuchatel xamax,sion,3,1
lugano,basel,1,1
luzern,st gallen,3,0
thun,zurich,2,2
sion,grasshopper,3,0
st gallen,lugano,0,2
basel,young boys,2,2
thun,luzern,1,1
zurich,neuchatel xamax,2,1
luzern,basel,0,1
sion,zurich,1,0
grasshopper,lugano,1,1
neuchatel xamax,thun,3,2
young boys,st gallen,3,2
lugano,neuchatel xamax,0,0
st gallen,grasshopper,0,0
zurich,basel,0,2
thun,sion,1,2
luzern,young boys,1,3
grasshopper,zurich,1,1
neuchatel xamax,st gallen,0,1
basel,lugano,1,1
sion,luzern,2,2
young boys,thun,5,1
basel,grasshopper,0,0
luzern,neuchatel xamax,0,1
lugano,sion,1,1
thun,st gallen,0,0
zurich,young boys,0,1
lugano,zurich,3,0
sion,basel,0,3
grasshopper,thun,1,1
st gallen,luzern,1,2
neuchatel xamax,young boys,1,0
neuchatel xamax,grasshopper,1,1
luzern,thun,3,1
st gallen,basel,0,3
young boys,lugano,2,2
zurich,sion,1,0
basel,zurich,3,0
grasshopper,st gallen,0,1
lugano,luzern,1,0
thun,neuchatel xamax,0,2
sion,young boys,0,4
neuchatel xamax,zurich,1,2
thun,lugano,1,0
luzern,grasshopper,4,0
st gallen,sion,2,1
young boys,basel,3,1
basel,luzern,3,2
sion,neuchatel xamax,1,0
zurich,thun,3,0
lugano,st gallen,1,0
young boys,grasshopper,6,1
grasshopper,sion,0,3
neuchatel xamax,lugano,1,1
luzern,zurich,3,0
st gallen,young boys,4,1
thun,basel,1,2
basel,neuchatel xamax,4,1
lugano,grasshopper,3,3
sion,thun,0,1
young boys,luzern,4,0
zurich,st gallen,1,1
